device,motif_number,power,apparentpower,reactivepower,factor,window_size
Microwave,1,"[10.942857142857141, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[14.717142857142857, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[9.828571428571427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.21142857142857144, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",30
Microwave,2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",30
Microwave,3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",30
Microwave,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",30
Microwave,5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",30
Hair_straightener,1,"[0.4, 0.28, 0.20000000000000004, 0.2, 0.2, 0.2, 0.2, 0.20000000000000004, 0.2, 0.20000000000000004, 0.2, 0.20000000000000004, 0.2, 0.2, 0.20000000000000004, 0.2, 0.2, 0.20000000000000004, 0.20000000000000004, 0.20000000000000004, 0.20000000000000004, 0.2, 0.2, 0.20000000000000004, 0.2, 0.2, 0.20000000000000004, 0.20000000000000004, 0.2, 505.5857142857143]","[7.32, 7.590000000000001, 7.786666666666666, 7.24, 5.04, 5.04, 5.237142857142857, 5.27, 6.054285714285713, 7.095, 7.089999999999999, 5.491666666666667, 5.5, 5.237142857142857, 5.04, 5.04, 4.81, 4.81, 5.001666666666666, 5.04, 5.419999999999999, 6.18, 6.18, 5.04, 5.04, 4.777142857142857, 4.58, 4.2749999999999995, 2.75, 1173.1857142857145]","[7.3, 7.6, 7.8, 7.24, 5.0, 5.0, 5.257142857142857, 5.3, 6.071428571428571, 7.099999999999999, 7.1, 5.5, 5.5, 5.214285714285714, 5.0, 5.0, 4.8, 4.8, 4.966666666666667, 5.0, 5.3999999999999995, 6.2, 6.2, 5.0, 5.0, 4.771428571428571, 4.6, 4.283333333333333, 2.7, 861.1999999999999]","[0.05, 0.038, 0.03, 0.032, 0.04, 0.04, 0.04, 0.04, 0.03571428571428571, 0.03, 0.03, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03666666666666667, 0.03, 0.03, 0.04, 0.04, 0.04, 0.04, 0.045000000000000005, 0.07, 0.48857142857142855]",30
Hair_straightener,2,"[0.20000000000000004, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.20000000000000004, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.20000000000000004, 0.2, 0.20000000000000004, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.4571428571428572, 791.9142857142858]","[7.983333333333333, 9.67, 9.67, 6.45, 6.45, 6.59375, 6.68, 6.811428571428571, 7.599999999999999, 7.6, 8.98, 9.21, 8.224285714285715, 6.9157142857142855, 6.92, 6.458333333333333, 6.45, 5.683333333333334, 5.308571428571428, 5.441428571428571, 6.225714285714285, 6.22, 5.234285714285714, 5.07, 5.365714285714286, 5.76, 5.76, 5.07, 5.07, 791.9142857142858]","[7.966666666666666, 9.7, 9.7, 6.4, 6.4, 6.5875, 6.7, 6.828571428571428, 7.599999999999999, 7.6, 8.971428571428572, 9.2, 8.214285714285714, 6.9, 6.9, 6.483333333333333, 6.4, 5.666666666666667, 5.3, 5.428571428571429, 6.2, 6.2, 5.257142857142857, 5.1, 5.3999999999999995, 5.8, 5.8, 5.1, 5.042857142857143, 0.0]","[0.02666666666666667, 0.02, 0.02, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.02142857142857143, 0.02, 0.024285714285714282, 0.03, 0.03, 0.03, 0.03, 0.03666666666666667, 0.04, 0.038571428571428576, 0.03, 0.03, 0.038571428571428576, 0.04, 0.03571428571428571, 0.03, 0.03, 0.04, 0.09, 1.0]",30
Hair_straightener,3,"[0.20000000000000004, 0.2, 0.20000000000000004, 0.20000000000000004, 0.20000000000000004, 0.20000000000000004, 0.20000000000000004, 0.2, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 476.5285714285714, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 8.37142857142857, 0.1, 0.1, 0.10000000000000002, 0.10000000000000002, 0.19999999999999998]","[6.169999999999999, 6.078, 5.94, 5.94, 5.72, 5.72, 8.013333333333334, 9.16, 9.16, 9.16, 9.16, 5.234285714285714, 4.58, 6.03, 477.76142857142855, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 19.4, 12.108571428571427, 6.738571428571428, 6.87, 6.87, 8.238333333333333, 8.23]","[6.2, 6.08, 5.900000000000001, 5.900000000000001, 5.7, 5.7, 8.033333333333333, 9.2, 9.2, 9.2, 9.2, 5.257142857142857, 4.6, 6.033333333333334, 1.2714285714285716, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.7714285714285714, 6.728571428571429, 6.9, 6.900000000000001, 8.2, 8.2]","[0.03, 0.03, 0.03, 0.03, 0.03, 0.03, 0.023333333333333334, 0.02, 0.03, 0.03, 0.03, 0.0642857142857143, 0.07, 0.05666666666666667, 0.8614285714285714, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.44, 0.015714285714285715, 0.01, 0.01, 0.01, 0.024999999999999998]",30
Hair_straightener,4,"[0.2, 0.2, 0.20000000000000004, 0.2, 0.2, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.20000000000000004, 0.2, 0.2, 0.2, 0.20000000000000004, 0.2, 0.2, 0.2, 0.2, 0.20000000000000004, 0.2, 0.2, 0.2, 762.75]","[7.34, 6.54, 5.739999999999999, 5.74, 10.55, 10.55, 9.635000000000002, 8.72, 8.145, 7.57, 7.57, 5.965, 4.36, 5.505000000000001, 6.65, 6.65, 7.34, 7.34, 6.65, 5.965, 5.513333333333333, 4.595, 4.59, 6.88, 6.88, 7.263333333333333, 8.03, 8.03, 5.96, 765.63]","[7.3, 6.5, 5.7, 5.7, 10.6, 10.5, 9.6, 8.7, 8.149999999999999, 7.6, 7.6, 5.949999999999999, 4.3, 5.449999999999999, 6.6, 6.6, 7.3, 7.3, 6.65, 6.0, 5.533333333333334, 4.6, 4.6, 6.9, 6.9, 7.266666666666667, 8.0, 8.0, 6.0, 3.0]","[0.03, 0.03, 0.03, 0.03, 0.02, 0.03, 0.03, 0.03, 0.035, 0.04, 0.04, 0.05500000000000001, 0.07, 0.060000000000000005, 0.05, 0.05, 0.03, 0.03, 0.03, 0.03, 0.03333333333333333, 0.04, 0.04, 0.03, 0.03, 0.02666666666666667, 0.02, 0.02, 0.03, 0.515]",30
Hair_straightener,5,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.21428571428571427, 0.3, 0.3, 0.3, 0.3, 0.3, 0.3, 0.2375, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.20000000000000004, 531.7142857142857]","[3.5157142857142856, 2.99, 4.76, 7.12, 7.12, 7.81, 7.81, 7.81, 7.81, 8.040000000000001, 9.4275, 9.44, 7.862857142857143, 7.58, 7.382857142857143, 7.12, 7.12, 4.37, 4.37, 4.632857142857143, 4.83, 4.968, 5.52, 5.5200000000000005, 3.8771428571428572, 3.21, 3.67, 4.13, 4.13, 531.7142857142857]","[3.5142857142857147, 3.0, 4.757142857142857, 7.1, 7.1, 7.8, 7.8, 7.8, 7.8, 8.028571428571428, 9.4, 9.4, 7.857142857142857, 7.6, 7.385714285714285, 7.1, 7.1, 4.4, 4.4, 4.628571428571428, 4.8, 4.9399999999999995, 5.5, 5.5, 3.857142857142857, 3.2, 3.65, 4.1, 4.1, 0.0]","[0.06142857142857144, 0.07, 0.05285714285714286, 0.03, 0.03, 0.03, 0.03142857142857143, 0.04, 0.04, 0.038571428571428576, 0.03, 0.03, 0.038571428571428576, 0.03375, 0.03, 0.03, 0.03, 0.05, 0.05, 0.04428571428571428, 0.04, 0.04, 0.04, 0.04, 0.054285714285714284, 0.06, 0.055, 0.05, 0.05000000000000001, 1.0]",30
