run_id,Time,Power,ApparentPower,ReactivePower,Factor,Voltage,Current
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:17,0,7,7,0.04,231,0.03
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:17,4,7,5,0.63,231,0.03
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:17,4,7,5,0.63,231,0.03
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:17,4,7,5,0.63,231,0.03
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:17,4,7,5,0.63,231,0.03
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:18,5,7,5,0.66,231,0.03
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:18,5,7,5,0.65,231,0.03
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:18,4,7,5,0.63,231,0.03
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:18,4,7,5,0.63,231,0.03
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:19,5,10,9,0.44,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:19,5,10,9,0.44,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:20,4,10,9,0.42,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:20,5,10,9,0.44,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:20,5,10,9,0.44,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:20,4,10,9,0.42,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:20,4,10,9,0.42,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:20,4,10,9,0.42,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:20,4,10,9,0.42,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:21,4,10,9,0.43,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:21,4,10,9,0.43,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:21,4,10,9,0.43,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:21,5,10,9,0.45,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:21,5,10,9,0.45,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:21,4,10,9,0.43,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:21,4,10,9,0.43,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:21,4,10,9,0.43,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:21,4,10,9,0.43,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:22,5,10,9,0.44,231,0.044
b172d003-1aea-4250-a26c-21690dd10e24,2026-07-01T15:45:22,5,10,9,0.44,231,0.044
