run_id,Time,Power,ApparentPower,ReactivePower,Factor,Voltage,Current
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:46,0,7,7,0.03,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:46,0,7,7,0.03,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:46,0,7,7,0.03,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:46,0,7,7,0.03,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:47,0,7,7,0.03,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:47,0,7,7,0.03,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:47,0,7,7,0.03,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:47,0,7,7,0.03,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:47,0,7,7,0.03,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:47,0,7,7,0.03,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:47,0,7,7,0.03,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:47,0,7,7,0.03,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:48,0,7,7,0.04,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:48,0,7,7,0.04,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:48,0,7,7,0.04,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:48,0,7,7,0.04,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:48,4,7,6,0.56,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:48,4,7,6,0.56,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:48,4,7,6,0.56,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:48,4,7,6,0.56,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:48,4,7,6,0.56,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:48,5,7,5,0.67,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:48,5,7,5,0.67,230,0.03
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:48,4,10,9,0.45,230,0.042
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:49,4,10,9,0.45,230,0.042
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:49,4,10,9,0.45,230,0.042
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:49,4,10,9,0.45,230,0.042
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:49,5,10,9,0.48,230,0.042
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:49,5,10,9,0.48,230,0.042
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:49,5,10,9,0.48,230,0.042
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:49,5,10,9,0.48,230,0.042
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:51,5,10,9,0.45,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:52,5,10,9,0.45,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:52,5,10,9,0.45,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:52,5,10,9,0.45,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:52,5,10,9,0.45,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:52,5,10,9,0.45,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:52,5,10,9,0.45,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:52,2,10,10,0.18,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:52,4,10,9,0.43,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:52,4,10,9,0.43,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:52,4,10,9,0.43,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:53,4,10,9,0.43,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:53,4,10,9,0.43,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:53,5,10,9,0.44,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:53,5,10,9,0.44,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:53,5,10,9,0.44,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:53,5,10,9,0.46,230,0.044
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:53,5,10,9,0.46,230,0.045
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:53,5,10,9,0.46,230,0.045
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:53,5,10,9,0.46,230,0.045
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:56,1680,1680,0,1.0,227,0.204
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:56,1680,1680,0,1.0,227,0.204
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:56,1680,1680,0,1.0,227,0.204
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:56,1678,1678,0,1.0,227,0.204
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:56,1678,1678,0,1.0,227,0.204
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:56,1678,1678,0,1.0,227,0.204
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:57,1678,1678,0,1.0,227,0.204
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:57,1678,1678,0,1.0,227,0.204
4b54751a-13a1-464a-a726-0f36c5228d89,2026-06-08T22:44:57,1678,1678,0,1.0,227,7.357
